Country,TotalCases,NewCases,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,TotalCases/1M pop,Tests/1M pop,Population,Continent
World,14440011,25352,8625382,18651,5209487,60094,1853,,,All
USA,3833597,326,1775271,52,1915448,16673,11578,143776,331097557,North America
Brazil,2075246,326,1366775,52,629654,8318,9760,23096,212632374,South America
India,1078757,893,677856,226,374063,8944,781,9989,1380641231,Asia
Russia,771546,6109,550344,3481,208860,2300,5287,171249,145937686,Europe
South Africa,350879,6109,182230,3481,163701,539,5913,40826,59342751,Africa
Peru,349500,6109,238086,3481,98416,1311,10593,61900,32992469,South America
Mexico,338913,7615,213006,4570,87019,378,2627,6315,128995882,North America
Chile,328846,7615,299449,4570,20952,1792,17195,72596,19124005,South America
Spain,307335,7615,299449,4570,20952,617,6573,128892,46755711,Europe
UK,294066,7615,299449,4570,20952,142,4331,193109,67903554,Europe
Iran,271606,7615,235300,4570,22327,3529,3232,25267,84041815,Asia
Pakistan,263496,1580,204276,5767,53652,1763,1192,7788,221072824,Asia
Saudi Arabia,248416,1580,194218,5767,51751,2182,7131,75286,34837754,Asia
Italy,244216,1580,196806,5767,12368,50,4039,102594,60457165,Europe
Turkey,218717,1580,201013,5767,12229,1231,2592,50154,84381245,Asia
Germany,202572,1580,187800,300,5610,249,2417,82158,83797389,Europe
Bangladesh,202066,1580,110098,300,89387,1,1226,6176,164766291,Asia
Colombia,190700,1580,85836,300,98348,1040,3746,23297,50908124,South America
France,174674,1580,79233,300,65289,477,2676,40115,65280829,Europe
Argentina,122524,1580,52607,300,67697,752,2710,11760,45215376,South America
Canada,109999,1580,96914,300,4237,2177,2913,92214,37757861,North America
Qatar,106308,1580,103023,300,3131,132,37862,156346,2807805,Asia
Iraq,90220,1580,58492,300,28037,397,2241,19307,40259056,Asia
Egypt,87172,1580,27868,300,55053,41,851,1318,102416176,Africa
Indonesia,84882,1580,43268,300,37598,41,310,4389,273658307,Asia
Sweden,77281,1580,43268,300,37598,62,7650,67491,10102333,Europe
Ecuador,73382,1580,31757,300,36343,342,4156,11478,17654908,South America
Kazakhstan,70339,1636,43029,2773,26935,221,3744,94602,18787010,Asia
Philippines,67456,2241,22465,398,43160,522,615,10192,109646997,Asia
Belarus,65953,2241,57856,398,7602,89,6980,125197,9449162,Europe
Oman,65504,2241,42772,398,22424,164,12815,52203,5111683,Asia
Belgium,63706,207,17289,398,36617,28,5496,124644,11592126,Europe
Kuwait,58904,207,49020,398,9477,137,13784,107021,4273378,Asia
Bolivia,58138,2036,18200,318,37832,71,4977,10831,11680191,South America
Ukraine,58111,2036,30525,318,26109,96,1329,19776,43719426,Europe
UAE,56711,2036,48917,318,7456,1,5731,450815,9895877,Asia
Panama,52261,2036,27494,318,23696,173,12104,42444,4317753,North America
Netherlands,51581,2036,27494,318,23696,15,3010,44587,17136793,Europe
Dominican Republic,51519,2036,24607,318,25941,245,4747,19281,10853005,North America
Israel,49575,210,21440,92,27729,238,5390,153507,9197590,Asia
